datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity
16-12-2006 17:24,4.216,0.418,234.84,17.96
16-12-2006 17:25,5.36,0.436,233.63,22.95
16-12-2006 17:26,5.374,0.498,233.29,23.04
16-12-2006 17:27,5.388,0.502,233.74,23.05
16-12-2006 17:28,3.666,0.528,235.68,15.56
16-12-2006 17:29,3.52,0.522,235.02,14.98
16-12-2006 17:30,3.702,0.52,234.18,15.81
16-12-2006 17:31,3.7,0.51,234.26,15.8
16-12-2006 17:32,3.668,0.508,234.98,15.61
16-12-2006 17:33,3.632,0.506,235.14,15.45
16-12-2006 17:34,3.6,0.504,235.22,15.31
16-12-2006 17:35,3.55,0.5,235.36,15.08
16-12-2006 17:36,3.52,0.498,235.48,14.95
16-12-2006 17:37,3.5,0.496,235.62,14.86
16-12-2006 17:38,3.48,0.494,235.74,14.77
16-12-2006 17:39,3.46,0.492,235.88,14.68
16-12-2006 17:40,3.44,0.49,236.02,14.58
16-12-2006 17:41,3.42,0.488,236.18,14.48
16-12-2006 17:42,3.4,0.486,236.32,14.39
16-12-2006 17:43,3.38,0.484,236.48,14.29
16-12-2006 17:44,3.36,0.482,236.62,14.2
